original_intent,clean_intent,duration_minutes,embedding_preview
work more on this,work more on this,10.0,"[0.01131464820355177, 0.02658195234835148, -0.035478413105010986, -0.0038743391633033752, -0.01111441757529974]..."
keep working for next 13 mins,keep working for next 13 mins,13.0,"[-0.04139142856001854, -0.042128562927246094, -0.0018571153050288558, -0.03720709681510925, 0.022109830752015114]..."
learn ASp,learn ASp,45.0,"[-0.02557336539030075, -0.023629462346434593, -0.01972307451069355, 0.012015963904559612, 0.026435142382979393]..."
turn paper into AI gen RN doc,turn paper into AI gen RN doc,30.0,"[-0.006498238537460566, 0.056584183126688004, 0.0019638047087937593, -0.05294974148273468, -0.023366408422589302]..."
check calc A,check calc A,10.0,"[0.0008022002293728292, -0.07679331302642822, -0.02944534458220005, 0.041207414120435715, 0.018570372834801674]..."
finish last Q check,finish last Q check,3.0,"[-0.05652565136551857, -0.008766038343310356, -0.010175807401537895, -0.004092484712600708, 0.004678553435951471]..."
download windsurf,download windsurf,10.0,"[-0.05976777896285057, 0.04921101778745651, -0.001868601655587554, 0.0054094442166388035, 0.005421571899205446]..."
use windsurf to make this tool run on a luanch agent,use windsurf to make this tool run on a luanch agent,10.0,"[-0.03953993320465088, 0.023723414167761803, 0.018023677170276642, -0.010225820355117321, -0.031412191689014435]..."
Break,Break,20.0,"[-0.0649121105670929, 0.029460161924362183, -0.027788542211055756, -0.006730305962264538, -0.028951536864042282]..."
"use windsurf to make this app into a launch agent, make the reflections peice say what the intention was, add if you say extend it just extends it by howdver many mins you say","use windsurf to make this app into a launch agent, make the reflections peice say what the intention was, add if you say extend it just extends it by howdver many mins you say",20.0,"[0.016909046098589897, 0.00032818547333590686, 0.010601161047816277, -0.04975971207022667, -0.03388407826423645]..."
study,study,100.0,"[-0.023844202980399132, 0.03133789822459221, -0.03170207142829895, 0.0014899189118295908, 0.0302645955234766]..."
read Aurora and relax,read Aurora and relax,65.0,"[-0.04164960980415344, 0.06560792773962021, -0.024624144658446312, 0.009265963919460773, -0.012717271223664284]..."
Finish reading Marsha's paper,Finish reading Marsha's paper,67.0,"[-0.030815858393907547, 0.0847654715180397, -0.004655634053051472, -6.289937300607562e-05, 0.01675926148891449]..."
build flashcard creation website with windsurf,build flashcard creation website with windsurf,30.0,"[-0.014122940599918365, -0.040206655859947205, -0.009945402853190899, -0.022764604538679123, 0.038221850991249084]..."
Finish flashcard creation website. Add link support and be done?,Finish flashcard creation website. Add link support and be done?,72.0,"[-0.009480832144618034, -0.06135419383645058, -0.025494270026683807, -0.038678113371133804, 0.029746929183602333]..."
finish and submit website,finish and submit website,105.0,"[0.014359792694449425, 0.04459398239850998, -0.010349282063543797, -0.05235561355948448, 0.023369967937469482]..."
play diep.do,play diep.do,10.0,"[-0.019442027434706688, -0.02165556326508522, -0.018680226057767868, -0.015907887369394302, -0.0020490826573222876]..."
make reverse rottating sandwitches .com,make reverse rottating sandwitches .com,60.0,"[0.002778595080599189, 0.003241759492084384, 0.0027759461663663387, 0.03964102268218994, -0.0502091683447361]..."
help bela with chatGPT,help bela with chatGPT,30.0,"[0.02809104137122631, -0.11267503350973129, -0.010634300298988819, 0.028571639209985733, -0.015451128594577312]..."
finihs reverse rotating sandwitches,finihs reverse rotating sandwitches,20.0,"[-0.007851310074329376, -0.09233873337507248, -0.015682877972722054, 0.02683648094534874, -0.03341871500015259]..."
Publish RRS and send it to Eleanor => get charger,Publish RRS and send it to Eleanor => get charger,5.0,"[0.05034980550408363, 0.07224766165018082, 0.014011767692863941, 0.02281378209590912, 0.04163962975144386]..."
get charger,get charger,5.0,"[0.0038851203862577677, 0.03718702867627144, 0.039162423461675644, -0.003233368042856455, 0.061828162521123886]..."
finish email,finish email,6.0,"[-0.009624981321394444, 0.05198376253247261, -0.00481436075642705, 0.011415698565542698, -0.0009033125243149698]..."
read my chapter of Ullysis,read my chapter of Ullysis,45.0,"[0.012456333264708519, -0.03520122915506363, 0.018429065123200417, -0.026576990261673927, 0.023117192089557648]..."
read auroroa,read auroroa,105.0,"[0.010985095985233784, 0.08397534489631653, -0.005767746828496456, 0.030905427411198616, 0.013312081806361675]..."
read chapter,read chapter,65.0,"[0.02490936778485775, 0.012007190845906734, -0.007206381298601627, 0.03750750795006752, -0.05529998987913132]..."
Read commetaries on my chapter,Read commetaries on my chapter,150.0,"[-0.014180423691868782, 0.008057354018092155, -0.03392523527145386, 0.036468811333179474, 0.0030459195841103792]..."
order notebook,order notebook,10.0,"[0.03783770650625229, 0.04597778990864754, -0.0002815893676597625, 0.002474800683557987, 0.012713019736111164]..."
work on englishe essay,work on englishe essay,40.0,"[0.0406469851732254, 0.09010199457406998, 0.02473021112382412, 0.023580456152558327, -0.015744490548968315]..."
work on english essay - get just the notes bit of the text?,work on english essay - get just the notes bit of the text?,35.0,"[-0.019576678052544594, 0.005931735038757324, -0.005806551314890385, 0.07313045114278793, -0.026539087295532227]..."
ai make essay,ai make essay,25.0,"[0.03046719916164875, 0.06348657608032227, 0.0049936226569116116, -0.006206850055605173, -0.027288062497973442]..."
copy essays,copy essays,7.0,"[-0.005567308980971575, 0.07702914625406265, 0.03517703339457512, 0.002079166006296873, -0.07111289352178574]..."
use windsurf to get the html for this page and read it,use windsurf to get the html for this page and read it,40.0,"[-0.017346208915114403, 0.0009749049204401672, -0.013254213146865368, 0.08177922666072845, 0.016488298773765564]..."
make this app fullscreen/block everything else,make this app fullscreen/block everything else,30.0,"[-0.0033358719665557146, -0.03134670481085777, -0.01101620402187109, -0.017697365954518318, 0.011662602424621582]..."
read HPMOC,read HPMOC,20.0,"[0.00033460190752521157, -0.027088364586234093, -0.0013564466498792171, -0.01113210991024971, 0.0185320395976305]..."
buy CTB key,buy CTB key,20.0,"[0.037583593279123306, -0.05450312793254852, 0.008360481821000576, -0.025112904608249664, -0.04879438132047653]..."
respond to SLEEC groupchat,respond to SLEEC groupchat,3.0,"[0.06409995257854462, -0.00115196721162647, -0.007775899022817612, 0.024359503760933876, 0.002072246978059411]..."
write ulysses essay with gemini run it till it doesnt sound AI,write ulysses essay with gemini run it till it doesnt sound AI,30.0,"[0.001396390376612544, 0.11951114237308502, -0.01844683103263378, -0.03677882254123688, -0.056430988013744354]..."
5 more mins on essay,5 more mins on essay,5.0,"[0.005556555464863777, 0.045891374349594116, -0.003393554361537099, -0.013585847802460194, -0.013180308043956757]..."
"make page numbers right, then make into an outline, then print, then run","make page numbers right, then make into an outline, then print, then run",66.0,"[-0.028423434123396873, -0.03024429641664028, 0.012221765704452991, 0.014516277238726616, -0.006618679501116276]..."
count tim box money,count tim box money,18.0,"[-0.022873662412166595, 0.0549374520778656, -0.0027383328415453434, 0.039330627769231796, -0.011608538217842579]..."
buy cams for stuco,buy cams for stuco,25.0,"[-0.02501053176820278, 0.03414332866668701, 0.014567987993359566, -0.0018769762245938182, 0.04712352156639099]..."
read email,read email,10.0,"[0.03466545417904854, 0.029581567272543907, -0.0019108443520963192, 0.11002595722675323, -0.01305386982858181]..."
test CTB,test CTB,3.0,"[-0.053477659821510315, -0.0854935422539711, -0.02367379516363144, 0.015753306448459625, -0.08310924470424652]..."
get ASP examples,get ASP examples,10.0,"[-0.04764657840132713, 0.010290388017892838, -0.004263454582542181, 0.04547949507832527, -0.010550473816692829]..."
read blog more ,read blog more,10.0,"[0.04546906054019928, 0.044674865901470184, -0.008977421559393406, 0.023367363959550858, 0.04623350873589516]..."
get Clingo python docs,get Clingo python docs,30.0,"[0.04036747291684151, -0.07011266052722931, 0.005967509932816029, -0.007110854145139456, 0.038475267589092255]..."
define MVP system,define MVP system,20.0,"[0.0013762497110292315, -0.028611255809664726, -0.004239104222506285, 0.0005567947519011796, -0.0261752437800169]..."
turn docs into text files to give to WS,turn docs into text files to give to WS,35.0,"[-0.05008991062641144, 0.0019101103534922004, 0.028488051146268845, -0.01868494786322117, 0.005076175089925528]..."
work on ASP thing in background while taking notes,work on ASP thing in background while taking notes,60.0,"[-0.02935871109366417, -0.007630127016454935, -0.014911609701812267, 0.01563241146504879, -0.00949781108647585]..."
finish ASP thing,finish ASP thing,30.0,"[-0.03582480177283287, 0.025798480957746506, 0.015817422419786453, -0.026880836114287376, 0.0207921601831913]..."
work on ASP for 30 mins. If not done restart with smaller project,work on ASP for 30 mins. If not done restart with smaller project,35.0,"[-0.03653303533792496, 0.018857916817069054, -0.01702692173421383, -0.03317365050315857, -0.000800726527813822]..."
work on ASP. Update it with the stuff I just learnt?,work on ASP. Update it with the stuff I just learnt?,40.0,"[-0.004616455174982548, 0.024099616333842278, -0.02819071151316166, -0.006986305117607117, 0.020468251779675484]..."
SLEEC DSL call,SLEEC DSL call,80.0,"[-0.0020358983892947435, -0.02503577247262001, 0.020927563309669495, -0.011398090049624443, -0.0061651854775846004]..."
finish law treaty thing,finish law treaty thing,28.0,"[0.030596621334552765, 0.026616327464580536, 0.030780071392655373, -0.0473470464348793, -0.02772183157503605]..."
finish bio lab,finish bio lab,45.0,"[-0.0033285312820225954, 0.029200885444879532, 0.009847271256148815, -0.052868377417325974, 0.009171035140752792]..."
play UTT,play UTT,20.0,"[-0.0666450560092926, -0.009445675648748875, -0.020095571875572205, -0.021413300186395645, 0.02906380593776703]..."
play sans fight,play sans fight,40.0,"[0.003559516742825508, -0.024385593831539154, 0.008204827085137367, 0.08217057585716248, 0.006443206686526537]..."
"work on english essay. o1 pro to get quotes, 4.5 to write it?","work on english essay. o1 pro to get quotes, 4.5 to write it?",30.0,"[0.03801276162266731, 0.05287431925535202, 0.011732008308172226, 0.030861496925354004, -0.03541003540158272]..."
do essay o4 to make quotes 4.5 to write essay,do essay o4 to make quotes 4.5 to write essay,45.0,"[0.06608932465314865, 0.009264365769922733, 0.00882453378289938, 0.0417436808347702, 0.002988768508657813]..."
edit CTB to block after 8 pm,edit CTB to block after 8 pm,6.0,"[-0.014153160154819489, -0.04939638078212738, -0.0006043759640306234, 0.009714635089039803, -0.05404100567102432]..."
text analiese for it ,text analiese for it,5.0,"[0.00888268742710352, -0.06400537490844727, 0.016394956037402153, 0.0895826667547226, -0.027170244604349136]..."
Select GTD system,Select GTD system,45.0,"[-0.037683114409446716, -0.04190264642238617, -0.0034094536677002907, 0.08910572528839111, -0.007662355899810791]..."
"build UTTT agent - desgine with o3, build with windsurf","build UTTT agent - desgine with o3, build with windsurf",30.0,"[-0.016767868772149086, 0.009915634989738464, 0.01570490188896656, -0.05442705750465393, 0.05051874741911888]..."
install intend.do,install intend.do,75.0,"[-0.04878385737538338, 0.07014158368110657, -0.011886131949722767, -0.048868607729673386, 0.034569013863801956]..."
finish and submit bio essay?,finish and submit bio essay?,50.0,"[0.002840474946424365, 0.0675753504037857, 0.010101350955665112, -0.08248114585876465, -0.01572306640446186]..."
inten d.do,inten d.do,17.0,"[-0.016570154577493668, -0.019160263240337372, -0.009770921431481838, 0.021043352782726288, -0.028749331831932068]..."
expand flashcard pipeline to work with many docs,expand flashcard pipeline to work with many docs,60.0,"[-0.00785164162516594, -0.013101765885949135, -0.028032047674059868, -0.05109730735421181, 0.02866712026298046]..."
edit script to make one big txt file,edit script to make one big txt file,11.0,"[-0.005254244897514582, -0.01940734311938286, -0.003116767155006528, 0.010565502569079399, 0.006659642793238163]..."
sleepy,sleepy,20.0,"[-0.016762392595410347, -0.05239303410053253, 0.001388760283589363, 0.0013893680879846215, 0.018310952931642532]..."
indend.do,indend.do,15.0,"[-0.026996031403541565, 0.010677642188966274, -0.008858750574290752, -0.043997835367918015, -0.00011493601050460711]..."
Now working on editing bio essay,Now working on editing bio essay,60.0,"[0.0581626370549202, 0.038847148418426514, 0.014884228818118572, -0.05431395769119263, -0.012905818410217762]..."
add citations to bio essay,add citations to bio essay,60.0,"[-0.0072663999162614346, -0.012385712936520576, 0.01659652777016163, -0.06390838325023651, 0.01695031113922596]..."
edit and then submit bio essay,edit and then submit bio essay,20.0,"[0.026876240968704224, 0.03310242295265198, 0.0033647266682237387, -0.05134422704577446, -0.014615397900342941]..."
finish editing,finish editing,30.0,"[-0.00511708902195096, -0.001591963809914887, -0.010555983521044254, -0.040806662291288376, -0.0040023839101195335]..."
eaf,eaf,30.0,"[0.004142517689615488, 0.0228887926787138, 0.004837538581341505, 0.019177164882421494, 0.05320946127176285]..."
make flashcards,make flashcards,115.0,"[-0.023079127073287964, -0.09454501420259476, -0.028090810403227806, -0.05100944638252258, -0.0017060402315109968]..."
intend.do,intend.do,35.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
"set up workflowy, then go accross","set up workflowy, then go accross",20.0,"[-0.029889672994613647, 0.009172244928777218, 0.001779290847480297, -0.04760565981268883, -0.023846276104450226]..."
"finish putting work in Workflowy, then go accross","finish putting work in Workflowy, then go accross",15.0,"[-0.048822786659002304, 0.021116139367222786, 0.006802626885473728, -0.04595706984400749, -0.015898868441581726]..."
check intend,check intend,5.0,"[-0.01746825873851776, 0.001998412888497114, -0.019014589488506317, 0.020139826461672783, 0.003397207008674741]..."
Edit and resub bio essay,Edit and resub bio essay,45.0,"[0.019703442230820656, 0.005802548956125975, -0.005255290772765875, -0.043363217264413834, -0.01567143015563488]..."
test out anthropic dev consol,test out anthropic dev consol,15.0,"[-0.02754484862089157, -0.024957431480288506, -0.030218306928873062, -0.01678290031850338, 0.0007558537763543427]..."
research cost comparision of OpenAI vs claude and subscription vs buying credits,research cost comparision of OpenAI vs claude and subscription vs buying credits,30.0,"[0.004931336268782616, 0.021227234974503517, -0.007637246046215296, -0.04508814960718155, -0.045930393040180206]..."
"Keep comparing costs - current plan is cancel sub, use dev consols","Keep comparing costs - current plan is cancel sub, use dev consols",30.0,"[-0.010628982447087765, 0.005396456457674503, -0.005165963899344206, -0.07253838330507278, 0.0007111419108696282]..."
do a bit more research,do a bit more research,50.0,"[0.005577840842306614, -0.02308993972837925, -0.044232387095689774, 0.044876448810100555, -0.025193387642502785]..."
intend.do,intend.do,15.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
RemNote review,RemNote review,90.0,"[0.017680902034044266, -0.09598841518163681, 0.0009911584202200174, 0.0409042052924633, -0.007841574028134346]..."
intend.do,intend.do,30.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
"keep watching demo, then update Workflowy (WFY) then do cards","keep watching demo, then update Workflowy (WFY) then do cards",10.0,"[-0.023488705977797508, 0.003974615130573511, -0.027280954644083977, -0.0494842492043972, -0.01625438779592514]..."
RN cards 40 mins,RN cards 40 mins,40.0,"[0.014687489718198776, -0.06773748993873596, -0.02531825564801693, 0.023559020832180977, -0.05262697488069534]..."
get windsurf runing,get windsurf runing,10.0,"[-0.06692373007535934, 0.025252575054764748, 0.001064747804775834, 0.03928495943546295, 0.04721704125404358]..."
test,test,3.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
test,test,25.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
work on ASP converter,work on ASP converter,20.0,"[-0.023127233609557152, 0.002100373851135373, 0.032829172909259796, 0.0028624068945646286, 0.026046816259622574]..."
test,test,1.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
test,test,1.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
test,test,1.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
get docker working and test 1 line install of I_tool,get docker working and test 1 line install of I_tool,20.0,"[-0.0818677470088005, -0.0192521084100008, -0.025529038161039352, -0.0886203721165657, -0.03336617350578308]..."
take a short blog break,take a short blog break,60.0,"[-0.0019179938826709986, 0.07941917330026627, -0.03120637871325016, -0.01190253347158432, -0.023149825632572174]..."
WS rulss,WS rulss,10.0,"[-0.021767469123005867, -0.05513408035039902, 0.00394671643152833, 0.022713610902428627, 0.0027190824039280415]..."
text A,text A,10.0,"[0.005317465402185917, -0.07242795079946518, 0.013682360760867596, -0.009583568200469017, -0.01630372367799282]..."
Intend.do,Intend.do,15.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
RemNote 30 mins,RemNote 30 mins,20.0,"[-0.05257449671626091, -0.1354599893093109, -0.022415507584810257, 0.015493861399590969, -0.03410126268863678]..."
write s2c report and understand it,write s2c report and understand it,30.0,"[0.01748914271593094, -0.0359053872525692, 0.0008889879682101309, 0.011780457571148872, -0.025600112974643707]..."
make docs with gemini,make docs with gemini,20.0,"[-0.014220459386706352, 0.03430626913905144, 0.010170117020606995, -0.03772120177745819, -0.028731927275657654]..."
build AST convert4tre,build AST convert4tre,20.0,"[-0.05477655678987503, -0.051334284245967865, -0.024483688175678253, 0.0016925848321989179, 0.030905283987522125]..."
build sleect to ast converter,build sleect to ast converter,10.0,"[-0.054538171738386154, -0.02222302556037903, 0.004342744126915932, 0.018195779994130135, 0.032970041036605835]..."
get lark workign,get lark workign,30.0,"[-0.010362327098846436, 0.009814217686653137, -0.01697487384080887, -0.03313157334923744, -0.001993912272155285]..."
read,read,40.0,"[0.007110266946256161, 0.025356350466609, 0.0183964092284441, 0.058498211205005646, -0.03505890071392059]..."
calll a ,calll a,30.0,"[-0.010552208870649338, 0.008532541804015636, -0.003651892766356468, -0.018443481996655464, -0.010550567880272865]..."
Intend.do,Intend.do,10.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
intend.do,intend.do,10.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
finish intend.do,finish intend.do,3.0,"[-0.02263762429356575, 0.07626068592071533, -0.010526266880333424, -0.08375588804483414, 0.01004666369408369]..."
"break for 5 mins - go brush teeth, move around","break for 5 mins - go brush teeth, move around",5.0,"[-0.018324464559555054, -0.04662177339196205, -0.030120715498924255, -0.030239392071962357, -0.00019417447037994862]..."
yay! It is all working!!!!,yay! It is all working!!!!,1.0,"[0.013762500137090683, -0.03043767623603344, -0.0012398810358718038, 0.016621271148324013, 0.0445987731218338]..."
look at exam schedual -  make remnote card specs for each class,look at exam schedual -  make remnote card specs for each class,10.0,"[-0.0321274995803833, -0.08039166778326035, -0.03790857270359993, 0.06863107532262802, 0.022090988233685493]..."
make physics flashcards,make physics flashcards,10.0,"[-0.0315912626683712, -0.09942971169948578, -0.03803284466266632, -0.021415868774056435, 0.015136907808482647]..."
I wonder if the time between timeouts increases? Also there should be no max.,I wonder if the time between timeouts increases? Also there should be no max.,5.0,"[0.005766012240201235, -0.11377662420272827, -0.017234081402420998, 0.001447233953513205, 0.04337194934487343]..."
make physics flashcards,make physics flashcards,20.0,"[-0.0315912626683712, -0.09942971169948578, -0.03803284466266632, -0.021415868774056435, 0.015136907808482647]..."
edit physics cards,edit physics cards,10.0,"[0.024633707478642464, -0.04355348274111748, -0.02006547525525093, 0.07386237382888794, 0.03230650722980499]..."
look at physics cards,look at physics cards,6.0,"[0.009637930430471897, -0.052889078855514526, -0.05288742110133171, 0.07479270547628403, 0.023311156779527664]..."
Bio cards,Bio cards,20.0,"[0.043884798884391785, -0.0413646399974823, -0.010993010364472866, 0.004468170925974846, 0.029131554067134857]..."
"Download bio slides, then take a break!","Download bio slides, then take a break!",10.0,"[-0.03780723735690117, 0.004315753933042288, -0.05485086515545845, -0.0060589914210140705, 0.01630513370037079]..."
break,break,30.0,"[-0.0649121105670929, 0.029460161924362183, -0.027788542211055756, -0.006730305962264538, -0.028951536864042282]..."
Turn slideshows into notes,Turn slideshows into notes,10.0,"[-0.04644511640071869, 0.0014845571713522077, 0.010108031332492828, 0.05131658539175987, -0.01250956580042839]..."
finish bio presentation,finish bio presentation,30.0,"[-0.019251232966780663, 0.00894811563193798, 0.0006656856276094913, -0.030494756996631622, -0.010049459524452686]..."
order joe rogan joke book for graduation,order joe rogan joke book for graduation,13.0,"[0.03260883688926697, 0.14116793870925903, 0.01227918453514576, -0.048928700387477875, 0.0014354466693475842]..."
finish bio presentation,finish bio presentation,60.0,"[-0.019251232966780663, 0.00894811563193798, 0.0006656856276094913, -0.030494756996631622, -0.010049459524452686]..."
finish bio essay,finish bio essay,15.0,"[0.013794773258268833, 0.08299210667610168, 0.017832083627581596, -0.06177905946969986, 0.015468763187527657]..."
